x [mm],y [mm],z [mm],B [T]
70,0,0,-0.99
70,2,0,-0.956
70,4,0,-0.926
70,6,0,-0.911
70,8,0,-0.911
70,10,0,-0.929
70,12,0,-0.962
72,0,0,-0.984
72,2,0,-0.958
72,4,0,-0.927
72,6,0,-0.912
72,8,0,-0.913
72,10,0,-0.93
72,12,0,-0.963
74,0,0,-0.994
74,2,0,-0.959
74,4,0,-0.928
74,6,0,-0.913
74,8,0,-0.914
74,10,0,-0.931
74,12,0,-0.964
76,0,0,-0.995
76,2,0,-0.959
76,4,0,-0.928
76,6,0,-0.913
76,8,0,-0.914
76,10,0,-0.931
76,12,0,-0.964
78,0,0,-0.996
78,2,0,-0.96
78,4,0,-0.93
78,6,0,-0.914
78,8,0,-0.915
78,10,0,-0.933
78,12,0,-0.965
80,0,0,-0.999
80,2,0,-0.961
80,4,0,-0.93
80,6,0,-0.915
80,8,0,-0.916
80,10,0,-0.933
80,12,0,-0.966
82,0,0,-0.997
82,2,0,-0.961
82,4,0,-0.931
82,6,0,-0.915
82,8,0,-0.916
82,10,0,-0.934
82,12,0,-0.966
84,0,0,-0.995
84,2,0,-0.961
84,4,0,-0.931
84,6,0,-0.916
84,8,0,-0.917
84,10,0,-0.917
84,12,0,-0.965
86,0,0,-0.995
86,2,0,-0.962
86,4,0,-0.931
86,6,0,-0.916
86,8,0,-0.917
86,10,0,-0.934
86,12,0,-0.967
88,0,0,-0.993
88,2,0,-0.962
88,4,0,-0.932
88,6,0,-0.916
88,8,0,-0.917
88,10,0,-0.935
88,12,0,-0.968
90,0,0,-0.997
90,2,0,-0.963
90,4,0,-0.932
90,6,0,-0.917
90,8,0,-0.918
90,10,0,-0.935
90,12,0,-0.968
92,0,0,-0.997
92,2,0,-0.963
92,4,0,-0.932
92,6,0,-0.917
92,8,0,-0.918
92,10,0,-0.936
92,12,0,-0.969
94,0,0,-0.994
94,2,0,-0.963
94,4,0,-0.932
94,6,0,-0.917
94,8,0,-0.918
94,10,0,-0.936
94,12,0,-0.969
96,0,0,-0.994
96,2,0,-0.962
96,4,0,-0.932
96,6,0,-0.917
96,8,0,-0.918
96,10,0,-0.936
96,12,0,-0.969
98,0,0,-1
98,2,0,-0.962
98,4,0,-0.932
98,6,0,-0.917
98,8,0,-0.918
98,10,0,-0.936
98,12,0,-0.969
100,0,0,-0.998
100,2,0,-0.962
100,4,0,-0.932
100,6,0,-0.917
100,8,0,-0.918
100,10,0,-0.936
100,12,0,-0.969
102,0,0,-0.999
102,2,0,-0.961
102,4,0,-0.931
102,6,0,-0.917
102,8,0,-0.918
102,10,0,-0.936
102,12,0,-0.969
104,0,0,-0.993
104,2,0,-0.961
104,4,0,-0.931
104,6,0,-0.917
104,8,0,-0.918
104,10,0,-0.936
104,12,0,-0.97
106,0,0,-0.985
106,2,0,-0.96
106,4,0,-0.931
106,6,0,-0.916
106,8,0,-0.918
106,10,0,-0.936
106,12,0,-0.936
108,0,0,-1.001
108,2,0,-0.96
108,4,0,-0.93
108,6,0,-0.916
108,8,0,-0.917
108,10,0,-0.936
108,12,0,-0.969
110,0,0,-0.993
110,2,0,-0.959
110,4,0,-0.93
110,6,0,-0.915
110,8,0,-0.917
110,10,0,-0.935
110,12,0,-0.969
112,0,0,-0.995
112,2,0,-0.959
112,4,0,-0.929
112,6,0,-0.914
112,8,0,-0.916
112,10,0,-0.934
112,12,0,-0.968
114,0,0,-0.994
114,2,0,-0.958
114,4,0,-0.928
114,6,0,-0.913
114,8,0,-0.914
114,10,0,-0.933
114,12,0,-0.967
116,0,0,-0.992
116,2,0,-0.957
116,4,0,-0.926
116,6,0,-0.911
116,8,0,-0.912
116,10,0,-0.913
116,12,0,-0.964
118,0,0,-0.994
118,2,0,-0.956
118,4,0,-0.925
118,6,0,-0.909
118,8,0,-0.91
118,10,0,-0.929
118,12,0,-0.965
120,0,0,-0.992
120,2,0,-0.955
120,4,0,-0.922
120,6,0,-0.906
120,8,0,-0.906
120,10,0,-0.925
120,12,0,-0.961
122,0,0,-0.994
122,2,0,-0.952
122,4,0,-0.918
122,6,0,-0.901
122,8,0,-0.901
122,10,0,-0.92
122,12,0,-0.955
124,0,0,-0.988
124,2,0,-0.948
124,4,0,-0.913
124,6,0,-0.894
124,8,0,-0.894
124,10,0,-0.912
124,12,0,-0.948
126,0,0,-0.985
126,2,0,-0.941
126,4,0,-0.905
126,6,0,-0.886
126,8,0,-0.884
126,10,0,-0.9
126,12,0,-0.935
128,0,0,-0.977
128,2,0,-0.928
128,4,0,-0.928
128,6,0,-0.877
128,8,0,-0.874
128,10,0,-0.885
128,12,0,-0.911
130,0,0,-0.976
130,2,0,-0.928
130,4,0,-0.894
130,6,0,-0.877
130,8,0,-0.874
130,10,0,-0.885
130,12,0,-0.911
132,0,0,-0.836
132,2,0,-0.88
132,4,0,-0.874
132,6,0,-0.867
132,8,0,-0.866
132,10,0,-0.873
132,12,0,-0.869
134,0,0,-0.84
134,2,0,-0.88
134,4,0,-0.874
134,6,0,-0.866
134,8,0,-0.866
134,10,0,-0.873
134,12,0,-0.87
136,0,0,-0.95
136,2,0,-0.914
136,4,0,-0.889
136,6,0,-0.88
136,8,0,-0.886
136,10,0,-0.909
136,12,0,-0.954
138,0,0,-0.968
138,2,0,-0.928
138,4,0,-0.9
138,6,0,-0.889
138,8,0,-0.895
138,10,0,-0.92
138,12,0,-0.962
140,0,0,-0.97
140,2,0,-0.937
140,4,0,-0.909
140,6,0,-0.897
140,8,0,-0.897
140,10,0,-0.925
140,12,0,-0.968
142,0,0,-0.976
142,2,0,-0.943
142,4,0,-0.915
142,6,0,-0.903
142,8,0,-0.909
142,10,0,-0.932
142,12,0,-0.972
144,0,0,-0.979
144,2,0,-0.943
144,4,0,-0.915
144,6,0,-0.903
144,8,0,-0.909
144,10,0,-0.932
144,12,0,-0.972
146,0,0,-0.983
146,2,0,-0.95
146,4,0,-0.922
146,6,0,-0.911
146,8,0,-0.916
146,10,0,-0.939
146,12,0,-0.977
